Identifier,RIBO_GLY_1,RNA_GLY_1
NC_002516.2:74034-74267:+,26,34
NC_002516.2:74279-74716:-,1,1
NC_002516.2:74773-75189:-,3,3
NC_002516.2:75281-76408:+,10,19
NC_002516.2:76416-77399:-,47,9
NC_002516.2:77432-78097:-,16,2
NC_002516.2:78090-78632:-,30,5
NC_002516.2:78710-80755:+,127,35
NC_002516.2:80752-81027:+,31,7
NC_002516.2:81116-82174:+,8,4
NC_002516.2:82404-83318:-,272,37
NC_002516.2:83380-85092:-,97,87
NC_002516.2:85085-86284:-,11,7
NC_002516.2:86284-87003:-,16,6
NC_002516.2:87000-90098:-,139,46
NC_002516.2:90106-90834:-,85,19
NC_002516.2:90844-91524:-,26,7
NC_002516.2:91521-94826:-,96,49
NC_002516.2:95048-96397:-,52,17
NC_002516.2:96404-97738:-,58,12
NC_002516.2:97754-98218:-,48,7
NC_002516.2:98263-99756:-,57,43
NC_002516.2:100124-101158:+,53,46
NC_002516.2:101247-101765:+,602,71
NC_002516.2:101778-103274:+,649,125
NC_002516.2:103350-103838:+,1644,410
NC_002516.2:104006-104851:+,127,57
NC_002516.2:104853-105362:+,89,17
NC_002516.2:105359-107218:+,60,26
NC_002516.2:107182-108228:+,75,17
NC_002516.2:108221-110929:+,375,114
NC_002516.2:110976-112907:+,143,70
NC_002516.2:113022-113306:-,31,1
NC_002516.2:113303-114595:-,20,6
NC_002516.2:114611-115045:-,7,8
NC_002516.2:115299-117524:+,68,60
NC_002516.2:117552-118001:+,19,8
NC_002516.2:117931-119130:+,19,14
NC_002516.2:119127-120164:+,27,8
NC_002516.2:120164-121324:+,45,18
NC_002516.2:121346-122266:+,257,118
NC_002516.2:122248-123495:+,36,23
NC_002516.2:123871-124599:+,90,58
NC_002516.2:124810-126381:+,12,2
NC_002516.2:126368-127006:-,8,8
NC_002516.2:127378-128502:+,68,77
NC_002516.2:128512-130104:+,70,17
NC_002516.2:130115-130669:+,25,5
NC_002516.2:130680-131567:+,39,21
NC_002516.2:131583-131792:-,9,2
NC_002516.2:131808-132602:+,20,19
NC_002516.2:132577-133155:+,25,4
NC_002516.2:133220-134293:+,16,6
NC_002516.2:134319-135233:+,12,5
NC_002516.2:135259-135894:+,18,15
NC_002516.2:135934-136386:-,20,1
NC_002516.2:136518-136991:+,19,5
NC_002516.2:137248-137976:+,6,2
NC_002516.2:138001-138588:+,6,0
NC_002516.2:138818-140167:+,11,5
NC_002516.2:140216-140902:+,11,2
NC_002516.2:141003-141737:+,7,2
NC_002516.2:141917-142327:+,42,24
NC_002516.2:142359-143267:-,13,5
NC_002516.2:143567-143848:-,7,10
NC_002516.2:143845-144072:-,7,3
NC_002516.2:144248-144868:-,23,13
NC_002516.2:144969-145469:+,9,6
NC_002516.2:145542-145883:+,73,47
NC_002516.2:145965-147392:-,17,7
NC_002516.2:147561-149054:-,52,15
NC_002516.2:149138-149425:-,3,2
NC_002516.2:149425-150771:-,10,4
NC_002516.2:150906-151823:+,4,2
NC_002516.2:151936-153306:-,28,12
NC_002516.2:153696-153836:+,1,2
NC_002516.2:154417-155988:+,4,20
NC_002516.2:155988-157085:+,1,2
NC_002516.2:157108-158034:+,2,6
NC_002516.2:158199-158762:+,1569,182
NC_002516.2:158907-160472:+,142,13
NC_002516.2:160552-161448:-,2,39
NC_002516.2:161906-163255:+,6,12
NC_002516.2:163363-164415:+,132,16
NC_002516.2:164443-165069:-,15,2
NC_002516.2:165219-165737:-,4,2
NC_002516.2:165976-167073:+,3,4
NC_002516.2:167146-168108:+,6,3
NC_002516.2:168213-169163:+,29,9
NC_002516.2:169361-169906:+,2,4
NC_002516.2:169903-170898:+,2,7
NC_002516.2:171047-173434:+,10,16
NC_002516.2:173811-174638:+,10,4
NC_002516.2:174773-175492:+,4,1
NC_002516.2:175503-176108:+,10,1
NC_002516.2:176315-177154:+,16,5
NC_002516.2:177307-178458:+,31,20
NC_002516.2:178455-179525:+,13,6
NC_002516.2:179522-182569:+,77,66
NC_002516.2:182768-183706:+,21,11
NC_002516.2:183822-184007:+,0,2
NC_002516.2:184594-185928:+,3,3
NC_002516.2:185957-186754:-,5,6
NC_002516.2:186832-188448:+,18,7
NC_002516.2:189120-189956:+,14,5
NC_002516.2:190198-191604:+,2,2
NC_002516.2:191697-192362:+,23,6
NC_002516.2:192368-192958:+,15,3
NC_002516.2:192965-193672:-,17,9
NC_002516.2:193799-194179:-,34,7
NC_002516.2:194206-194748:-,26,5
NC_002516.2:194757-196748:-,38,15
NC_002516.2:197011-198060:-,6,6
NC_002516.2:198080-198682:-,1,0
NC_002516.2:198688-199530:-,3,5
NC_002516.2:199600-201639:-,31,10
NC_002516.2:201675-202160:-,7,4
NC_002516.2:202147-204066:-,12,18
NC_002516.2:204094-204459:-,11,12
NC_002516.2:204657-205829:-,24,19
NC_002516.2:206022-206954:-,1,0
NC_002516.2:207071-207823:+,2,1
NC_002516.2:207923-209533:-,4,2
NC_002516.2:209621-210460:-,0,0
NC_002516.2:210457-212073:-,4,3
NC_002516.2:212340-213401:+,6,4
NC_002516.2:213819-214634:+,4,2
NC_002516.2:214631-215512:+,3,1
NC_002516.2:215550-216908:-,2,1
NC_002516.2:217156-217881:+,3,3
NC_002516.2:217905-218822:-,2,6
NC_002516.2:219172-221544:+,2,2
NC_002516.2:221585-222487:+,2,2
NC_002516.2:222555-223454:+,1,0
NC_002516.2:224101-225219:+,15,8
NC_002516.2:225295-225603:+,24,2
NC_002516.2:225603-227039:+,34,17
NC_002516.2:227382-228194:+,2,8
NC_002516.2:228223-228942:+,4,2
NC_002516.2:228944-229345:+,5,1
NC_002516.2:229526-229738:-,2,27
NC_002516.2:229954-230535:+,7,28
NC_002516.2:230543-232000:-,1,2
NC_002516.2:232066-233100:-,5,0
NC_002516.2:233123-233932:-,2,0
NC_002516.2:233929-234849:-,0,0
NC_002516.2:234875-235987:-,0,2
NC_002516.2:236218-237111:+,6,10
NC_002516.2:237232-238896:+,4,8
NC_002516.2:238896-239777:+,3,3
NC_002516.2:239779-240078:+,3,0
NC_002516.2:240071-240934:+,7,2
NC_002516.2:240931-241737:+,6,2
NC_002516.2:241753-242445:+,5,2
NC_002516.2:242442-243374:+,7,2
NC_002516.2:243431-243835:+,2,2
NC_002516.2:243841-244605:+,2,7
NC_002516.2:244690-245619:-,14,4
NC_002516.2:245948-246868:-,8,3
NC_002516.2:247219-248709:+,8,3
NC_002516.2:248767-250200:+,11,2
NC_002516.2:250231-251613:+,8,2
NC_002516.2:251777-252835:+,3,2
NC_002516.2:252913-253794:-,2,0
NC_002516.2:253854-254636:-,3,0
NC_002516.2:254791-255330:+,13,8
NC_002516.2:255481-256332:+,8,11
NC_002516.2:256329-257111:+,9,2
NC_002516.2:257108-258313:+,11,3
NC_002516.2:258463-259761:+,4,25
NC_002516.2:259784-261163:+,14,8
NC_002516.2:261179-261970:+,11,4
NC_002516.2:261981-262382:+,17,0
NC_002516.2:262557-263498:+,10,8
NC_002516.2:263689-264522:+,3,1
NC_002516.2:264964-266310:-,5,1
NC_002516.2:266616-267395:+,9,6
NC_002516.2:267638-268681:+,5,2
NC_002516.2:268704-269519:+,5,2
NC_002516.2:269669-270547:+,7,1
NC_002516.2:270573-271838:-,4,4
NC_002516.2:271904-273229:-,2,2
NC_002516.2:273775-275679:+,4,1
NC_002516.2:275772-276440:+,10,5
NC_002516.2:276480-277334:-,1,1
NC_002516.2:277331-277777:-,6,1
NC_002516.2:277894-279399:-,13,12
NC_002516.2:279574-280758:-,11,34
NC_002516.2:280936-281802:+,13,9
NC_002516.2:281799-282245:-,8,2
NC_002516.2:282323-282757:-,30,19
NC_002516.2:282912-283553:-,1,1
NC_002516.2:283818-284105:-,0,0
NC_002516.2:284197-284673:-,12,3
NC_002516.2:284714-286204:-,14,8
NC_002516.2:286338-287024:-,15,16
NC_002516.2:287188-288120:-,12,39
NC_002516.2:288384-289175:-,3,16
NC_002516.2:289205-289390:-,19,11
NC_002516.2:289562-291004:-,119,43
NC_002516.2:291154-293304:-,57,36
NC_002516.2:293301-293798:-,28,9
NC_002516.2:293802-296861:-,23,9
NC_002516.2:297043-297561:-,1,0
NC_002516.2:299522-300973:+,88,26
NC_002516.2:301218-302498:+,121,29
NC_002516.2:302824-304023:+,37,13
NC_002516.2:304177-305598:-,6,2
NC_002516.2:305725-306162:+,11,2
NC_002516.2:306174-306581:+,12,1
NC_002516.2:306615-306899:+,2,2
NC_002516.2:306896-307828:-,7,3
NC_002516.2:307878-309092:-,3,4
NC_002516.2:309255-310025:-,2,19
NC_002516.2:310134-310820:-,7,5
NC_002516.2:310896-311411:+,6,4
NC_002516.2:311451-312209:-,36,7
NC_002516.2:312381-313133:-,4,3
NC_002516.2:313227-313925:+,22,8
NC_002516.2:313938-314927:-,101,65
NC_002516.2:314931-315800:-,76,48
NC_002516.2:315811-316629:-,31,24
NC_002516.2:316791-317789:-,81,95
NC_002516.2:317966-318148:-,14,27
NC_002516.2:318312-320594:-,43,20
NC_002516.2:320766-321944:+,169,156
NC_002516.2:322175-323560:+,3,4
NC_002516.2:323616-324572:+,3,4
NC_002516.2:324625-325587:+,17,2
NC_002516.2:325700-326671:+,20,12
NC_002516.2:327284-328666:+,350,73
NC_002516.2:328801-329907:-,80,18
NC_002516.2:329993-330871:-,1,6
NC_002516.2:331034-331699:-,8,7
NC_002516.2:331762-332823:-,14,5
NC_002516.2:333079-334455:-,81,47
NC_002516.2:334734-335486:+,23,11
NC_002516.2:335527-336885:+,101,59
NC_002516.2:336951-338321:+,140,41
NC_002516.2:338437-339540:+,591,105
NC_002516.2:339959-341056:+,126,28
NC_002516.2:341111-342265:+,91,26
NC_002516.2:342292-343173:+,55,27
NC_002516.2:343256-344125:+,84,36
NC_002516.2:344303-346690:-,16,10
NC_002516.2:346801-347853:+,3,2
NC_002516.2:347832-348335:-,126,46
NC_002516.2:348440-349051:-,2,9
NC_002516.2:349050-350069:+,40,14
NC_002516.2:350089-350841:-,17,15
NC_002516.2:350890-351588:+,15,20
NC_002516.2:351610-352164:-,1,0
NC_002516.2:352430-352924:+,17,11
NC_002516.2:352927-353619:-,13,9
NC_002516.2:353691-354461:-,42,19
NC_002516.2:354754-355191:+,221,47
NC_002516.2:355248-356477:-,3072,643
NC_002516.2:356681-358075:+,77,79
NC_002516.2:358167-358832:+,72,25
NC_002516.2:358931-359920:+,63,35
NC_002516.2:359982-360332:+,9,4
NC_002516.2:360413-361447:-,4,1
NC_002516.2:361463-362857:-,2,2
NC_002516.2:363278-364321:-,4,0
NC_002516.2:364369-365157:-,3,0
NC_002516.2:365154-366083:-,7,3
NC_002516.2:366080-367129:-,4,4
NC_002516.2:367457-368422:+,6,7
NC_002516.2:368462-370405:-,22,14
NC_002516.2:370706-371038:-,121,72
NC_002516.2:371162-371833:-,59,27
NC_002516.2:372091-373605:+,73,22
NC_002516.2:373725-374192:+,30,23
NC_002516.2:374243-375514:+,27,21
NC_002516.2:375951-377189:-,12,12
NC_002516.2:377239-377892:-,24,14
NC_002516.2:378096-378575:+,72,77
NC_002516.2:378598-380877:+,163,95
NC_002516.2:380903-382033:+,42,71
NC_002516.2:382037-382792:-,10,3
NC_002516.2:382914-383717:+,59,15
NC_002516.2:383727-384527:+,118,18
NC_002516.2:384733-385527:+,57,37
NC_002516.2:385554-386351:-,13,9
NC_002516.2:386386-387765:-,16,7
NC_002516.2:387758-389143:-,10,13
NC_002516.2:389334-389696:+,4,1
NC_002516.2:389733-390884:-,4,0
NC_002516.2:391094-392188:+,3,4
NC_002516.2:392185-393225:+,6,3
NC_002516.2:393308-393814:+,16,7
NC_002516.2:393830-394303:-,6,5
NC_002516.2:394442-395827:-,31,19
NC_002516.2:396057-397895:-,348,109
NC_002516.2:398224-399420:-,66,28
NC_002516.2:399493-400032:-,17,18
NC_002516.2:400248-401072:+,14,21
NC_002516.2:401131-401943:+,20,23
NC_002516.2:402020-402598:+,7,12
NC_002516.2:402681-403025:+,23,7
NC_002516.2:403295-404281:+,22,20
NC_002516.2:404386-406119:-,29,18
NC_002516.2:406247-406498:-,148,35
NC_002516.2:406619-407098:-,127,19
NC_002516.2:407250-408845:-,53,11
NC_002516.2:408901-409449:-,9,2
NC_002516.2:409504-410934:-,67,19
NC_002516.2:411224-411871:+,27,12
NC_002516.2:411856-412266:-,9,3
NC_002516.2:412329-413327:-,14,10
NC_002516.2:413933-414529:-,32,11
NC_002516.2:414529-416016:-,76,25
NC_002516.2:416009-417406:-,74,31
NC_002516.2:417527-418894:+,181,77
NC_002516.2:418891-419562:+,58,22
NC_002516.2:419562-420569:+,101,95
NC_002516.2:420683-421537:+,635,286
NC_002516.2:421602-422207:+,22,47
NC_002516.2:422212-422943:-,14,10
NC_002516.2:422980-423357:+,15,8
NC_002516.2:423460-423660:+,14,8
NC_002516.2:423719-424516:+,117,29
NC_002516.2:424670-425341:+,78,24
NC_002516.2:425504-426850:+,13,12
NC_002516.2:426863-427120:-,7,0
NC_002516.2:427182-427505:-,19,6
NC_002516.2:427586-428740:-,13,5
NC_002516.2:428861-429454:-,80,19
NC_002516.2:429451-429870:-,49,14
NC_002516.2:430002-430622:-,33,12
NC_002516.2:430630-431769:-,62,25
NC_002516.2:431858-433825:-,29,21
NC_002516.2:434226-434819:-,50,18
NC_002516.2:434830-435651:-,57,18
NC_002516.2:435663-436355:-,22,12
NC_002516.2:436570-437604:+,91,45
NC_002516.2:437782-438930:+,31,22
NC_002516.2:438938-439837:-,8,11
NC_002516.2:439991-440395:+,70,17
NC_002516.2:440638-442011:+,110,30
NC_002516.2:442008-443192:+,75,22
NC_002516.2:443419-444690:-,69,40
NC_002516.2:444687-445691:-,62,58
NC_002516.2:445715-446227:-,40,34
NC_002516.2:446339-446773:-,30,11
NC_002516.2:446773-447342:-,37,20
NC_002516.2:447391-448350:-,9,6
NC_002516.2:448431-449384:-,122,33
NC_002516.2:449639-450046:+,113,97
NC_002516.2:450093-450458:+,97,37
NC_002516.2:450509-451045:+,26,29
NC_002516.2:451130-453178:+,284,107
NC_002516.2:453239-454114:+,43,33
NC_002516.2:454126-461544:+,256,176
NC_002516.2:461537-462568:+,30,21
NC_002516.2:462565-463071:+,18,15
NC_002516.2:463079-463873:+,5,7
NC_002516.2:463949-464560:+,0,3
NC_002516.2:464568-465983:-,31,14
NC_002516.2:466018-466740:-,8,8
NC_002516.2:466833-468236:-,58,13
NC_002516.2:468410-469900:+,87,32
NC_002516.2:470081-470650:+,36,21
NC_002516.2:470662-471237:+,167,52
NC_002516.2:471306-471749:-,15,3
NC_002516.2:472024-473175:+,142,46
NC_002516.2:473191-476331:+,312,213
NC_002516.2:476333-477790:+,106,92
NC_002516.2:477886-479805:-,184,139
NC_002516.2:480056-481126:-,83,175
NC_002516.2:481196-482068:-,127,32
NC_002516.2:482111-482665:-,32,32
NC_002516.2:482706-484115:-,970,126
NC_002516.2:484404-484838:+,12,2
NC_002516.2:484964-487156:+,49,9
NC_002516.2:487167-488645:+,27,12
NC_002516.2:488730-489350:+,21,26
NC_002516.2:489387-490658:-,46,24
NC_002516.2:490648-491898:-,15,7
NC_002516.2:492080-493357:-,31,15
NC_002516.2:493354-494721:-,5,0
NC_002516.2:494816-496255:-,1,5
NC_002516.2:496362-496478:-,0,0
NC_002516.2:496871-498361:+,3,4
NC_002516.2:498420-499703:+,3,2
NC_002516.2:500104-501120:-,0,0
NC_002516.2:501376-502599:-,8,1
NC_002516.2:502719-503900:-,45,12
NC_002516.2:504121-505029:+,5,1
NC_002516.2:505047-505586:+,29,3
NC_002516.2:505629-507251:-,4,6
NC_002516.2:507631-508962:+,6,9
NC_002516.2:508959-509753:+,1,3
NC_002516.2:509861-510592:+,3,3
NC_002516.2:510589-512790:-,17,17
NC_002516.2:513051-514427:-,41,36
NC_002516.2:514775-514984:+,729,237
NC_002516.2:515135-515659:+,14,14
NC_002516.2:515653-516027:-,6,3
NC_002516.2:516029-517462:-,14,20
NC_002516.2:518083-520635:+,34,69
NC_002516.2:520737-521315:+,35,48
NC_002516.2:521630-522517:-,65,22
NC_002516.2:522660-523169:+,47,44
NC_002516.2:523254-523943:+,12,19
NC_002516.2:523943-525367:+,19,8
NC_002516.2:525469-526827:+,7,1
NC_002516.2:526877-527179:+,1,3
NC_002516.2:527324-527944:-,12,1
NC_002516.2:527963-528913:-,26,8
NC_002516.2:528999-529856:+,65,23
NC_002516.2:530029-532437:-,9,5
NC_002516.2:532541-533512:-,1,2
NC_002516.2:533509-534027:-,9,0
NC_002516.2:534196-534945:+,53,8
NC_002516.2:535085-535489:+,0,0
NC_002516.2:535539-536108:+,7,2
NC_002516.2:536142-537869:-,10,6
NC_002516.2:538217-539143:-,10,7
NC_002516.2:539231-539707:+,4,7
NC_002516.2:539785-540735:-,3,3
NC_002516.2:540839-541636:+,1,0
NC_002516.2:541679-542122:+,6,8
NC_002516.2:542170-544347:-,446,87
NC_002516.2:544654-545097:+,2,7
NC_002516.2:545129-545644:+,10,11
NC_002516.2:546334-547230:-,65,53
NC_002516.2:547432-548406:-,22,13
NC_002516.2:548468-549226:-,20,14
NC_002516.2:549294-549614:-,0,2
NC_002516.2:549656-550381:-,2,1
NC_002516.2:550520-550813:-,18,34
NC_002516.2:550867-551793:-,6,4
NC_002516.2:551911-552669:+,22,2
NC_002516.2:552746-552994:+,3,0
NC_002516.2:553005-554381:+,8,2
NC_002516.2:554383-555261:+,4,5
NC_002516.2:555251-556228:+,10,3
NC_002516.2:556275-557276:-,7,2
NC_002516.2:557354-558361:-,2,2
NC_002516.2:558377-559078:-,0,2
NC_002516.2:559644-560702:+,179,88
NC_002516.2:560808-562013:+,42,18
NC_002516.2:562006-562728:+,45,23
NC_002516.2:562721-563545:+,20,6
NC_002516.2:563549-564235:+,8,8
NC_002516.2:564344-564574:+,74,24
NC_002516.2:564914-566719:+,157,34
NC_002516.2:566932-568728:+,18,4
NC_002516.2:569002-570780:+,34,9
NC_002516.2:571111-572592:-,3,3
NC_002516.2:572583-573422:-,3,1
NC_002516.2:573433-574596:-,2,5
NC_002516.2:574590-575105:-,0,2
NC_002516.2:575080-575523:-,0,1
NC_002516.2:575516-576040:-,0,2
NC_002516.2:576037-576489:-,0,0
NC_002516.2:576498-577676:-,0,7
NC_002516.2:577673-578032:-,0,2
NC_002516.2:578029-578343:-,3,0
NC_002516.2:578394-580100:-,3,7
NC_002516.2:580316-581098:+,8,4
NC_002516.2:581133-581660:+,2,1
NC_002516.2:581668-581925:+,1,1
NC_002516.2:582015-582455:+,1,2
NC_002516.2:582455-583855:+,8,3
NC_002516.2:583857-585695:+,6,5
NC_002516.2:585702-585896:-,0,28
NC_002516.2:585980-586663:-,7,86
NC_002516.2:587017-587895:-,4,9
NC_002516.2:587997-588698:+,6,4
NC_002516.2:588924-590105:+,7,3
NC_002516.2:590105-590821:+,7,3
NC_002516.2:590896-591402:-,1,0
NC_002516.2:591445-592935:+,30,11
NC_002516.2:593273-594562:+,8,8
NC_002516.2:594580-595134:+,7,3
NC_002516.2:595245-596270:-,30,29
NC_002516.2:596274-596882:-,92,50
NC_002516.2:596970-597479:-,23,6
NC_002516.2:597708-598538:+,10,23
NC_002516.2:598608-598994:+,10,4
NC_002516.2:599107-599565:+,20,8
NC_002516.2:599757-600176:-,51,18
NC_002516.2:600426-601394:+,4,11
NC_002516.2:601398-602141:-,9,7
NC_002516.2:602346-603650:+,9,34
NC_002516.2:603706-604896:-,964,155
NC_002516.2:604912-605913:-,217,182
NC_002516.2:606160-608157:+,384,90
NC_002516.2:608157-609221:+,56,30
NC_002516.2:609202-609999:-,11,3
NC_002516.2:610214-611275:+,97,28
NC_002516.2:611281-612444:+,304,29
NC_002516.2:612517-612717:+,7,19
NC_002516.2:612877-613218:+,99,53
NC_002516.2:613338-614402:+,334,116
NC_002516.2:614468-614950:+,2,4
NC_002516.2:614952-615608:-,6,1
NC_002516.2:615607-616374:+,26,13
NC_002516.2:616371-617549:-,20,8
NC_002516.2:617662-618150:+,12,24
NC_002516.2:618176-619330:+,61,32
NC_002516.2:619332-620006:-,19,9
NC_002516.2:620135-620488:-,729,101
NC_002516.2:620666-621577:-,8,5
NC_002516.2:621695-622033:+,263,15
NC_002516.2:622023-622538:-,16,3
NC_002516.2:622726-622884:+,13,12
NC_002516.2:622894-623352:-,29,2
NC_002516.2:623368-623838:-,25,2
NC_002516.2:623852-624199:-,7,2
NC_002516.2:624189-624803:-,23,14
NC_002516.2:624994-627765:-,94,6
NC_002516.2:628335-628670:-,0,1
NC_002516.2:628763-629884:-,13,6
NC_002516.2:630527-634264:-,12,28
NC_002516.2:634371-636224:-,673,607
NC_002516.2:636304-638298:-,68,71
NC_002516.2:638381-638830:-,19,50
NC_002516.2:638900-639115:-,372,147
NC_002516.2:639316-640341:+,40,36
NC_002516.2:640420-640989:-,16,8
NC_002516.2:641073-641426:+,57,37
NC_002516.2:641417-641959:+,38,18
NC_002516.2:641932-643164:-,29,15
NC_002516.2:643208-643714:-,2,4
NC_002516.2:643808-645361:-,99,33
NC_002516.2:645358-646629:-,63,41
NC_002516.2:646730-648652:-,321,252
NC_002516.2:648931-649263:-,17,4
NC_002516.2:649307-650158:-,50,23
NC_002516.2:650158-650538:-,8,10
NC_002516.2:650575-651381:-,69,24
NC_002516.2:651497-652483:-,24,37
NC_002516.2:652480-653772:-,355,221
NC_002516.2:653753-656527:-,1194,480
NC_002516.2:656654-657670:+,63,9
NC_002516.2:657667-658341:+,18,10
NC_002516.2:658343-659101:+,15,18
NC_002516.2:659102-660163:-,33,15
NC_002516.2:660315-662708:+,41,45
NC_002516.2:662754-663386:+,18,14
NC_002516.2:663515-664549:+,30,18
NC_002516.2:664783-665892:+,20,17
NC_002516.2:665948-666994:+,76,15
NC_002516.2:667108-668355:+,13,6
NC_002516.2:668461-669291:+,9,3
NC_002516.2:669415-670089:+,74,37
NC_002516.2:670089-670907:+,23,31
NC_002516.2:670980-672458:+,102,51
NC_002516.2:672777-673091:-,4,3
NC_002516.2:673191-673961:-,33,15
NC_002516.2:674419-674619:+,1,3
NC_002516.2:674667-675026:+,5,8
NC_002516.2:675390-675839:+,23,17
NC_002516.2:675861-676376:+,18,44
NC_002516.2:676373-676930:+,5,22
NC_002516.2:677083-677409:+,9,12
NC_002516.2:677406-678293:+,10,45
NC_002516.2:678286-678819:+,19,29
NC_002516.2:678821-680896:+,43,94
NC_002516.2:680893-681351:+,23,33
NC_002516.2:681394-682554:+,56,65
NC_002516.2:682567-683070:+,39,31
NC_002516.2:683085-683429:+,16,17
NC_002516.2:683599-685836:+,37,121
NC_002516.2:685846-686718:+,9,28
NC_002516.2:686693-686899:+,1,12
NC_002516.2:686957-687946:+,12,54
NC_002516.2:687979-688608:+,6,24
NC_002516.2:688605-688967:+,7,17
NC_002516.2:688964-689221:+,1,12
NC_002516.2:689537-690031:+,22,29
NC_002516.2:690043-690390:+,14,34
NC_002516.2:690420-690674:+,3,15
NC_002516.2:690721-692556:+,22,100
NC_002516.2:692549-692890:+,6,13
NC_002516.2:692898-693593:+,3,28
NC_002516.2:693596-694366:+,4,37
NC_002516.2:694421-695023:+,9,27
NC_002516.2:695082-698696:+,33,125
NC_002516.2:699744-700835:+,13,17
NC_002516.2:700835-701170:+,13,8
NC_002516.2:701151-701381:+,3,5
NC_002516.2:701477-702529:+,40,31
NC_002516.2:702529-702831:+,29,16
NC_002516.2:702828-703058:+,41,24
NC_002516.2:703477-704082:+,30,22
NC_002516.2:704084-705133:+,97,53
NC_002516.2:705130-705966:+,151,45
NC_002516.2:706028-706672:-,206,109
NC_002516.2:706944-707366:+,138,34
NC_002516.2:707686-708480:+,129,58
NC_002516.2:708535-709182:-,43,14
NC_002516.2:709282-709620:-,19,6
NC_002516.2:709699-711180:+,26,16
NC_002516.2:711220-712020:-,31,24
NC_002516.2:712081-713157:-,132,32
NC_002516.2:713279-714247:-,116,27
NC_002516.2:714264-714686:-,61,6
NC_002516.2:714977-716011:+,225,49
NC_002516.2:716011-716730:+,49,22
NC_002516.2:716731-717153:+,35,15
NC_002516.2:717231-717581:+,156,73
NC_002516.2:717635-718726:-,63,34
NC_002516.2:718729-720072:-,156,64
NC_002516.2:720357-721556:+,282,309
NC_002516.2:727608-730703:-,9,15
NC_002516.2:730679-732094:-,0,4
NC_002516.2:732102-732653:-,1,0
NC_002516.2:732959-733555:+,5,0
NC_002516.2:733673-733993:-,0,3
NC_002516.2:734159-734875:+,1,4
NC_002516.2:734872-735417:+,2,1
NC_002516.2:735487-736446:+,3,3
NC_002516.2:736456-737097:-,2,0
NC_002516.2:737081-737530:-,0,0
NC_002516.2:737677-738108:+,0,1
NC_002516.2:738111-738485:-,0,0
NC_002516.2:738719-739168:+,1,0
NC_002516.2:739176-740141:+,0,1
NC_002516.2:740203-741348:+,1,3
NC_002516.2:741335-741928:+,0,0
NC_002516.2:741925-744336:+,6,1
NC_002516.2:744333-745742:+,3,4
NC_002516.2:745742-746956:+,0,1
NC_002516.2:747470-748576:+,0,2
NC_002516.2:748662-749774:+,5,6
NC_002516.2:749957-762499:+,43,60
NC_002516.2:762891-763493:+,1,1
NC_002516.2:763657-765291:+,0,0
NC_002516.2:765315-767162:+,1,4
NC_002516.2:767173-767592:+,2,5
NC_002516.2:767601-768347:+,1,0
NC_002516.2:768415-770121:+,6,8
NC_002516.2:770156-770818:+,1,1
